20200911a,1,Shelby,53
20200911a,2,Troy,38
20200911a,3,Joe,27
20200916a,1,Shelby,83
20200916a,2,Arnold,65
20200916a,3,Joe,49
20200923a,1,Joe,65
20200923a,2,Troy,49
20200923a,3,Damien,43
20200925a,1,John,79
20200925a,2,Andrew,75
20200925a,3,Joe,50
20200928a,1,Jesse,69
20200928a,2,Joe,66
20200928a,3,RoyalGoku,27
20200930a,1,Joe,81
20200930a,2,Shelby,51
20200930a,3,Troy,49
20201007a,1,Troy,43
20201007a,2,Joe,30
20201007a,3,Andrew,24
20201007a,4,George,4
20201007a,5,John,-3
20201007a,6,JJSF,-10
20201023a,1,Raji,45
20201023a,2,Andrew,36
20201023a,3,George,28
20201023a,4,Joe,27
20201023a,5,Troy,14
20201030a,1,Raji,68
20201030a,2,Dave,47
20201030a,3,Joe,35
20201030a,4,Troy,28
20201104a,1,Dave,80
20201104a,2,George,55
20201104a,2,Joe,55
20201104a,4,Troy,35
20201104a,5,Jesse,31
20201113a,1,Dave,0
20201113a,2,Joe,-6
20201113a,3,Troy,-11
20201113a,3,Andrew,-11
20201113a,5,Shelby,-15
20201113a,6,George,-15
20201113b,1,Andrew,72
20201113b,2,Jesse,56
20201113b,3,Dave,42
20201113b,4,Joe,37
20201113b,5,Troy,36
20201120a,1,Jesse,47
20201120a,2,Joe,44
20201120a,3,Troy,36
20201120a,4,George,30
20201120a,5,Raji,14
20201211a,1,Raji,49
20201211a,2,Jeremy,33
20201211a,2,Matt,33
20201211a,4,Troy,25
20201211a,5,Joe,19
20210108a,1,Raji,50
20210108a,2,Troy,44
20210108a,3,George,43
20210108a,4,Joe,27
20210113a,1,Dave,53
20210113a,2,Ruby,46
20210113a,3,Joe,26
20210113a,3,Andrew,26
20210113a,5,Shelby,24
20210115a,1,Joe,55
20210115a,2,George,54
20210115a,3,Troy,52
20210115a,4,John,28
20210115a,5,Dave,15
20210122a,1,Ruby,23
20210122a,2,Dave,23
20210122a,3,Troy,20
20210122a,3,Raji,20
20210122a,5,Joe,7
20210122a,6,Azzam,-1
20210122b,1,George,62
20210122b,2,Dave,56
20210122b,3,Joe,26
20210127a,1,Dave,38
20210127a,2,Ruby,29
20210129a,1,Dave,217
20210129a,2,Ruby,54
20210203a,1,Shelby,51
20210203a,2,Joe,39
20210203a,3,Arnold,34
20210203a,4,Ruby,29
20210203a,5,Dave,19
20210205a,1,Joe,7
20210205a,2,Troy,6
20210205a,3,Dave,5
20210205a,3,George,5
20210205a,5,Ruby,3
20210205a,6,Raji,0
20210205b,1,Raji,42
20210205b,2,Joe,27
20210205b,3,George,21
20210205b,4,Troy,20
20210205b,5,Dave,19
20210212a,1,Dave,46
20210212a,2,Joe,41
20210212a,3,Ruby,39
20210212a,4,Troy,36
20210217a,1,Dave,66
20210217a,2,Joe,54
20210217a,3,Raji,46
20210217a,4,Ruby,33
20210217b,1,Raji,55
20210217b,2,Ruby,45
20210217b,3,Dave,39
20210219a,1,Dave,48
20210219a,2,George,42
20210219a,3,Troy,25
20210219a,4,Raji,21
20210219a,5,Joe,17
20210224a,1,Dave,42
20210224a,2,Karingoh,23
20210224a,3,Raji,19
20210224a,4,Joe,15
20210224a,5,Jesse,15
20210226a,1,George,44
